Type,UPC,Title,Description,Category,Partner,SKU,Price,Stock,binding,number_of_pages,publisher,language,publication_date,weight,author
Standalone,9781408179147,Passage Making Made Perfect,"Planning and carrying out a successful, safe and enjoyable passage is a real art, and this book covers the whole process, from planning before setting off to fine tuning once underway. This book shows how planning is about making the most of your time, your crew, and giving  you the confidence to be more adventurous. Recent regulations issued by the Maritime and Coastguard Agency have also made passage planning a legal requirement for small boats, so now it's not just good practice - it's something you have to do. Starting with the first glimmerings of an idea through to the safe arrival at the other end, this guide covers not just the initial preparation but also how to put it into practice, continuously adjusting the plans in response to changing conditions at sea - all resulting in a safe, seamanlike and enjoyable voyage.  Looking at day, offshore and ocean sailing, each part of the book covers: - sources of information (eg weather and tides) - creating the passage plan, taking into account capabilities and strength of the boat and crew - preparing the boat, equipment, crew and skipper - fine tuning whilst underway - approaching the destination, and arrival - dealing with emergencies With practical text, case studies, checklists, flow charts and photographs, this book gives readers the tools and confidence they need to carry out successful passages, wherever and whenever they might be.",Books > General,Gardners,9781408179147,27.99,11,Paperback,224,Adlard Coles Nautical,English,11/04/2013,245,Alastair Buchan
Standalone,9781408100127,"Your First Channel Crossing: Planning, Preparing And Executing A Successful Passage, For Sail And Power","After day sailing, the next step for the adventurous yachtsman or motorboater is their first open sea crossing, and for many that invariably entails crossing the English Channel. This invaluable guide walks the first timer through their first Channel crossing step by step, tackling all the aspects that have to be taken into account before embarking, as well as managing on the trip, in the order in which they will be encountered. The trip is eminently achievable given good planning, reasonably competent crew and a working knowledge of navigation, and this essential handbook shows how to apply knowledge and skills to crossing the Channel in a safe and enjoyable way - for all concerned. Aspects covered include: - Preplanning: navigation, tides, weather, timing, course setting, bolt holes, collision regs, boat preparations, etc - Provisioning for all conditions - Weather on the day - Crew briefing (safety, watches, etc) - Grab bag, flares, etc Packed with instructional photos, facts and advice, this handholding book is perfect for anyone thinking of attempting a Channel crossing, whether by sail or power.  Encouraging, engaging and practical, by covering each stage in precisely the amount of detail required for the first-timer, it is like having an instructor or mentor on board.",Books > General,Ingram,9781408100127,28.99,11,Paperback,160,Adlard Coles Nautical,English,14/03/2013,454,Andy Du Port
Standalone,9781408187869,On Course To Win: Jim Saltonstall's Racing Tips For Sailors,"Jim Saltonstall has coached multiple National, European, World and Olympic racing champions, including Ben Ainslie, one of Britain's most successful Olympians. This quick reference handbook distills the wisdom of 40 years in the business to help all dinghy, yacht and windsurfers to improve their performance in one of the most challenging sports in the world. The book tackles all the issues that can arise at any point on the racecourse, from the starting line to the first mark to the finish line. It explains how to prepare for a race and how to get the best out of the boat in an accessible format (bite sized advice, tips and wisdom) and with an encouraging approach, offering intelligent analysis peppered with Jim's trademark sense of humour. Featuring photographs that illustrate specific aspects of all races and a checklist of all the key issues racers need to think about as they progress around the course, this book should be in every would-be champion's kitbag, both on and off the water. Endorsed by Ben Ainslie and with a foreword by Olympic gold medal-winner  Iain Percy.",Books > Sailing,Ingram,9781408187869,23.99,3,Paperback,96,Adlard Coles Nautical,English,15/03/2013,454,Jim Saltonstall
Standalone,9781408157282,The Offshore Race Crew's Manual,"Success in any yacht race depends to a large degree on the ability of the crew to perform any boat-handling manoeuvre faultlessly and speedily. This book explains the evolution of just about every situation that is likely to be encountered during a race at sea. Each one is appraised with an overview of the sequence that should take place and its objective, then the task of each crew member is explained for the preparation, operation and completion. The author has sailed in four Admiral's Cup series and has acted as the British team manager.",Books > Sailing,Ingram,9781408157282,32.99,6,Paperback,176,Thomas Reed Publications,English,25/04/2013,245,Stuart Quarrie
Standalone,9781741173420,Kayaking Around Australia,"Around the world, kayaking is growing in popularity as the ideal recreational activity to discover pristine natural environments that cannot be accessed by land. And Kayaking Around Australia is the definitive guide to over 40 of Australia's best kayaking destinations. From the misty mountain peaks of Cradle Mountain - Lake St Clair National Park in Tasmania to Pittwater in Sydney's backyard, this book offers detailed information on how and where to kayak. Each destination includes a first-hand account from author Andrew Gregory's own kayaking trip, suggested itineraries and practical information, such as tours and accommodation options. Gregory's stunning images complete the picture and will make you ready to grab your kayak and discover Australia in a brand-new way.",Books > Canoeing & Kayaking,Ingram,9781741173420,28.99,9,Paperback,384,EXPLORE AUSTRALIA,English,01/08/2011,1120,Andrew Gregory
Standalone,9781408182048,Adventures Of A Reluctant Boating Wife,"'When I was first invited by my future husband to look at his pride and joy, I, the innocent invitee, happily conjured up alluring pictures of me in a new bikini and a great suntan. It didn't occur to me that 'see my boat' might mean actually going out in the wretched tub in the winter. But I was newly in love and would have - in fact did- follow him anywhere. However, I quickly realised that crew require that geometrical, spatial capability that I simply don't have. By the time I've worked out the wind direction, the required point of sailing, the angle of the sail, where the tiller is and where it should be, we've perished. Anything that happens on water arouses a primal suspicion in me.'Before she realises what she's done, Angela has not only married a mad sailor, but has also agreed to go out on the water with him, in a boat they've bought, right out to sea... In this funny and engaging tale Angela takes us from reluctance to relish; from skepticism to skippering, as she is gradually drawn into the boating lifestyle, home and abroad.Illustrated with wonderful cartoons by David Semple, this is a stylish book and a thoroughly enjoyable read.",Books > General,Gardners,9781408182048,14.99,4,Paperback,96,Adlard Coles Nautical,English,09/05/2013,454,Angela Rice
Standalone,9781408178447,Walking On Water: The Daredevil Acrobatics Of A Pioneering Photographer,"Kos Evans has blazed a trail through the photographic world with her unique style and daredevil antics. Famous for her amazing, innovative angles, she stands out because of the often dangerous lengths she goes to to get the best shot. Some of her most well-known images were taken from the top of masts, or hanging over the sides of boats, or in the water, capturing speeding boats from only inches away. This photographic showcase features her most amazing and beautiful pictures. With descriptive captions detailing the background of each shot (how she came to be taking it, the difficulties she encountered), this collection tells the story of Kos's incredible skill and and intrepid acrobatics.Walking on Wateris a gorgeous celebration of outstanding marine photography, packed with spectacular images that take you close to the action. For her entire career Kos has captured dramatic, eyecatching shots that made her the envy of her peers; this book provides a unique insight into the work and skills of a remarkable indomitable female photographer who has made her distinctive mark in what is very much a tough man's world.",Books > General,Bertrams,9781408178447,49.99,3,Hardback,160,Thomas Reed Publications,English,03/01/2013,454,Kos Evans
Standalone,9781408154168,Fast Handling Technique,"From the author of the bestsellingHigh Performance SailingandHigher Performance Sailingcomes the first scientific analysis of what makes fast sailors fast. Eschewing the idea that luck or innate talent are the keys to success, Frank Bethwaite shows how knowledge truly is power. Making use of video cameras aligned to GPS read-outs to track the fastest racers, he meticulously analyses what winners do and how they do it, to show the rest of us how to get the best out of a racing craft.Frank Bethwaite's previous books were groundbreaking bibles that applied scientific theories to how sails and hulls interact with wind and water to influence boat speed. But whilst they applied scientific theories to boat construction, they didn't apply science to practical boat handling. This book fills that gap, and then goes further.Budding racers of all levels will welcomethis unique book as a godsend. It will inform, instruct and enable them toemploy the techniques (and timing) of the most successful racers, and make racingmore competitive for participants, and more exciting for those of us watching.",Books > Sailing,Ingram,9781408154168,32.99,11,Paperback,176,Thomas Reed Publications,English,01/01/2013,245,Frank Bethwaite
Standalone,9781408187982,Skipper's Mast And Rigging Guide,"The Skipper's Mast and Rigging Guide is a new title in our popular series of laminated cockpit guides that are designed for easy reference on board in all weather conditions. Of all the elements that are hard to set up on a sailboat, gauging how mast, running rigging and standing rigging should work in combination with each other is perhaps the trickiest of arts - some might call it a black art. And of course it is essential to get it right in order to stabilise the mast, reduce undue stress and consequently ensure the safety of everyone on board. This handy cockpit guide will simplify and explain to the reader exactly how to set up their mast, rigging and running rigging for whatever size of yacht and with whatever rig combination. It will take the reader through the basics of setting up and adjusting their rig step by step with helpful diagrams and detailed colour photographs throughout. With this book in one hand and a spanner in the other, skippers will be able to make their own adjustments without having to call in expensive professional riggers.",Books > Sailing,Gardners,9781408187982,20.99,1,Paperback,26,Adlard Coles Nautical,English,23/05/2013,454,Rene Westerhuis
Standalone,9781408129951,Sail: A Photographic Celebration Of Sail Power,"This book is an exuberant celebration of sailing in all its glory. Many of the world's most outstanding photographers from Beken of Cowes, Carlo Borlenghi and Gilles Martin-Raget to Rick Tomlinson, Franco Pace and Stanley Rosenfeld, present their tribute to this exciting world in an impressive galley of amazing action images.SAIL showcases the sweeping lines and glamorous settings of yachts of all sizes and types: cruising and racing beauties, legendary yachts from this century and the last, mono and multihulls, round the world thoroughbreds and outstanding winners from the ultimate in yacht racing - the America's Cup.For the first time ever, boats which have made their mark on sailing history are immortalised in an outstanding gallery of extraordinary photos from the world's best photographers.SAIL is a wonderful tribute to sailing, which will be treasured by all who love beautiful images, the glamorous lifestyle and the very best in action photography.",Books > Sailing,Gardners,9781408129951,53.99,3,Paperback,292,Adlard Coles Nautical,English,30/09/2010,1613,Various
